,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
126,E07000094,Winchester,South East,E,8458.0,-1864.0,81.26,58.93,41.07,120696
127,E07000095,Broxbourne,East,E,5010.0,874.0,73.78,33.74,66.26,96217
128,E07000096,Dacorum,East,E,8742.0,606.0,79.21,49.33,50.67,151350
129,E07000098,Hertsmere,East,E,8458.0,1010.0,76.62,49.16,50.84,102998
130,E07000099,North Hertfordshire,East,E,5334.0,-366.0,78.27,54.37,45.63,131696
131,E07000102,Three Rivers,East,E,4634.0,346.0,78.5,48.73,51.27,91674
132,E07000103,Watford,East,E,13130.0,1746.0,71.68,49.73,50.27,96403
133,E07000105,Ashford,South East,E,7816.0,2541.0,77.14,40.57,59.43,124250
134,E07000106,Canterbury,South East,E,28188.0,12489.0,75.05,48.96,51.04,159965
135,E07000107,Dartford,South East,E,7587.0,4082.0,75.57,35.78,64.22,103892
136,E07000108,Dover,South East,E,7009.0,1711.0,76.53,37.85,62.15,113228
137,E07000109,Gravesham,South East,E,9647.0,5865.0,74.93,34.62,65.38,106299
138,E07000110,Maidstone,South East,E,13343.0,6485.0,76.02,41.25,58.75,164499
139,E07000111,Sevenoaks,South East,E,8435.0,2940.0,80.68,45.62,54.38,118409
140,E07000112,Shepway,South East,E,6940.0,2327.0,75.0,37.75,62.25,110034
141,E07000113,Swale,South East,E,7719.0,3091.0,74.27,37.54,62.46,142417
142,E07000114,Thanet,South East,E,10203.0,3869.0,72.8,36.15,63.85,139772
143,E07000115,Tonbridge and Malling,South East,E,5892.0,1585.0,79.62,44.3,55.7,125713
144,E07000116,Tunbridge Wells,South East,E,9004.0,2102.0,79.14,54.89,45.11,116241
145,E07000117,Burnley,North West,E,3019.0,-58.0,67.25,33.39,66.61,87371
146,E07000118,Chorley,North West,E,3390.0,646.0,75.52,43.17,56.83,112969
147,E07000119,Fylde,North West,E,3927.0,565.0,75.57,43.04,56.96,77322
148,E07000120,Hyndburn,North West,E,2606.0,663.0,64.74,33.81,66.19,80228
149,E07000121,Lancaster,North West,E,24474.0,14238.0,72.69,48.92,51.08,142283
150,E07000122,Pendle,North West,E,4998.0,2573.0,70.33,36.85,63.15,90111
151,E07000123,Preston,North West,E,18847.0,8997.0,68.72,46.69,53.31,141302
152,E07000124,Ribble Valley,North West,E,1989.0,391.0,79.02,43.61,56.39,58480
153,E07000125,Rossendale,North West,E,1248.0,-200.0,72.43,39.32,60.68,69487
154,E07000126,South Ribble,North West,E,2480.0,590.0,75.38,41.44,58.56,109651
155,E07000127,West Lancashire,North West,E,5092.0,2157.0,74.47,44.69,55.31,112742
156,E07000128,Wyre,North West,E,4404.0,2125.0,74.61,36.23,63.77,109745
157,E07000129,Blaby,East Midlands,E,2550.0,1118.0,76.54,40.53,59.47,96544
158,E07000130,Charnwood,East Midlands,E,21086.0,9961.0,70.46,46.19,53.81,176720
159,E07000131,Harborough,East Midlands,E,2532.0,530.0,81.44,49.25,50.75,89284
160,E07000132,Hinckley and Bosworth,East Midlands,E,3387.0,758.0,76.8,39.67,60.33,108769
161,E07000133,Melton,East Midlands,E,1845.0,220.0,81.36,41.89,58.11,50912
162,E07000134,North West Leicestershire,East Midlands,E,3175.0,943.0,77.95,39.3,60.7,97247
163,E07000135,Oadby and Wigston,East Midlands,E,3041.0,1304.0,73.77,45.42,54.58,55833
164,E07000136,Boston,East Midlands,E,15918.0,12799.0,77.27,24.44,75.56,66902
165,E07000137,East Lindsey,East Midlands,E,5953.0,2547.0,74.93,29.35,70.65,137887
166,E07000138,Lincoln,East Midlands,E,12193.0,3311.0,69.34,43.06,56.94,97065
167,E07000139,North Kesteven,East Midlands,E,5213.0,2291.0,78.4,37.74,62.26,111876
168,E07000140,South Holland,East Midlands,E,10213.0,7994.0,75.37,26.41,73.59,91214
169,E07000141,South Kesteven,East Midlands,E,8770.0,3564.0,78.25,40.07,59.93,138909
170,E07000142,West Lindsey,East Midlands,E,2433.0,757.0,74.53,38.18,61.82,92812
171,E07000143,Breckland,East,E,9757.0,4582.0,74.34,35.78,64.22,135480
172,E07000144,Broadland,East,E,2900.0,905.0,78.37,45.63,54.37,126628
173,E07000145,Great Yarmouth,East,E,7305.0,4890.0,69.06,28.5,71.5,98667
174,E07000146,King's Lynn and West Norfolk,East,E,9922.0,4489.0,74.75,33.6,66.4,151013
175,E07000147,North Norfolk,East,E,4609.0,2643.0,76.84,41.09,58.91,103308
176,E07000148,Norwich,East,E,29963.0,13604.0,69.12,56.24,43.76,138872
177,E07000149,South Norfolk,East,E,3606.0,957.0,78.54,48.31,51.69,131010
178,E07000150,Corby,East Midlands,E,6041.0,3028.0,74.1,35.75,64.25,66854
179,E07000151,Daventry,East Midlands,E,4404.0,1220.0,81.01,41.4,58.6,80014
180,E07000152,East Northamptonshire,East Midlands,E,3002.0,-217.0,76.99,41.24,58.76,89746
181,E07000153,Kettering,East Midlands,E,5281.0,1236.0,76.43,39.01,60.99,97650
182,E07000154,Northampton,East Midlands,E,37018.0,19238.0,72.68,41.62,58.38,222462
183,E07000155,South Northamptonshire,East Midlands,E,3957.0,848.0,79.46,45.66,54.34,89116
184,E07000156,Wellingborough,East Midlands,E,5940.0,2451.0,75.46,37.58,62.42,77184
185,E07000163,Craven,Yorkshire and The Humber,E,2674.0,362.0,81.02,47.17,52.83,55801
186,E07000164,Hambleton,Yorkshire and The Humber,E,3338.0,1045.0,78.45,46.34,53.66,90035
187,E07000165,Harrogate,Yorkshire and The Humber,E,11883.0,250.0,78.89,50.97,49.03,157016
188,E07000166,Richmondshire,Yorkshire and The Humber,E,4101.0,448.0,75.15,43.22,56.78,52510
189,E07000167,Ryedale,Yorkshire and The Humber,E,2850.0,1192.0,77.22,44.74,55.26,53052
190,E07000168,Scarborough,Yorkshire and The Humber,E,5844.0,1382.0,73.03,38.01,61.99,107902
191,E07000169,Selby,Yorkshire and The Humber,E,3135.0,1494.0,79.1,40.83,59.17,85961
192,E07000170,Ashfield,East Midlands,E,2885.0,686.0,72.83,30.16,69.84,123574
193,E07000171,Bassetlaw,East Midlands,E,4685.0,2117.0,74.82,32.17,67.83,114533
194,E07000172,Broxtowe,East Midlands,E,10932.0,6761.0,78.32,45.35,54.65,112253
195,E07000173,Gedling,East Midlands,E,3164.0,692.0,76.6,44.45,55.55,115889
196,E07000174,Mansfield,East Midlands,E,4808.0,2062.0,72.62,29.14,70.86,106556
197,E07000175,Newark and Sherwood,East Midlands,E,4987.0,1443.0,76.86,39.61,60.39,118569
198,E07000176,Rushcliffe,East Midlands,E,5942.0,1500.0,81.56,57.55,42.45,114474
199,E07000177,Cherwell,South East,E,12953.0,5971.0,75.6,49.69,50.31,145550
200,E07000178,Oxford,South East,E,81095.0,28069.0,72.34,70.27,29.73,159574
201,E07000179,South Oxfordshire,South East,E,10619.0,1517.0,80.75,54.98,45.02,137412
202,E07000180,Vale of White Horse,South East,E,11215.0,5179.0,81.18,56.7,43.3,126663
203,E07000181,West Oxfordshire,South East,E,6137.0,1645.0,79.72,53.66,46.34,108611
204,E07000187,Mendip,South West,E,7312.0,1969.0,77.01,51.07,48.93,111724
205,E07000188,Sedgemoor,South West,E,7180.0,3080.0,76.3,38.8,61.2,120260
206,E07000189,South Somerset,South West,E,9615.0,3903.0,78.69,42.75,57.25,164982
207,E07000190,Taunton Deane,South West,E,7789.0,2585.0,78.16,47.08,52.92,114021
208,E07000191,West Somerset,South West,E,1833.0,550.0,79.17,39.41,60.59,34403
209,E07000192,Cannock Chase,West Midlands,E,1387.0,201.0,71.47,31.14,68.86,98535
210,E07000193,East Staffordshire,West Midlands,E,6339.0,2848.0,74.39,36.79,63.21,116040
211,E07000194,Lichfield,West Midlands,E,2987.0,1172.0,78.78,41.19,58.81,102706
212,E07000195,Newcastle-under-Lyme,West Midlands,E,8236.0,3531.0,74.3,36.96,63.04,127045
213,E07000196,South Staffordshire,West Midlands,E,1529.0,405.0,77.81,35.15,64.85,110726
214,E07000197,Stafford,West Midlands,E,6828.0,2023.0,77.83,44.01,55.99,132488
